s_id;provider_id;lon;lat;alt;alt_dem;gss_id;genus;species;subspecies;phase_id;year;day;date;cult_season;license_short
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;380;1963;288;1963-10-15;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;380;1963;289;1963-10-16;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;87;1963;317;1963-11-13;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;87;1963;318;1963-11-14;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;87;1963;319;1963-11-15;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;60;1964;111;1964-04-20;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;60;1964;142;1964-05-21;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;60;1964;151;1964-05-30;0;CC BY-NC 4.0
19299;2101;17.977;42.7124;60;64;1950100;Olea;Olea europaea;;65;1964;152;1964-05-31;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;60;1964;156;1964-06-04;0;CC BY-NC 4.0
19294;2101;16.45;43.167;20;37;1950100;Olea;Olea europaea;;65;1964;157;1964-06-05;0;CC BY-NC 4.0
20450;2701;19.0833;42.1;6;0;1950102;Olea;Olea europaea;Olea europaea Zutica;65;1964;157;1964-06-05;0;CC BY-NC 4.0
7230;14;2.355;41.638;195;189;1950100;Olea;Olea europaea;;60;1964;158;1964-06-06;0;CC BY-NC 4.0
19298;2101;14.7687;44.7556;26;18;1950100;Olea;Olea europaea;;65;1964;160;1964-06-08;0;CC BY-NC 4.0
6871;201;13.6167;45.4833;2;5;1950100;Olea;Olea europaea;;60;1964;162;1964-06-10;0;CC BY-NC 4.0
