feature,r2,slope,n,p,pheno_key
maturation_vpd_max_lpf3_peak,0.07342725351708206,-0.07587034313907479,96,0.007576633054048873,hazelnut
flower_vpd_max_lpf30_peak,0.07079811704247846,-0.25235230317748075,354,3.766080695085477e-07,olive
fruit_fill_vpd_max_lpf3_peak,0.07055147814430537,1.2097395122104802,143,0.0013449380511902417,stone_fruit
flower_vpd_max_lpf30_peak,0.07053378624402998,-4.762992427382875,57,0.045858531572286865,apricot
precip_mean_lpf14_peak_doy,0.0699087896160012,0.0006011106344049127,205,0.00012766355876476823,almond
pre_flower_tmax_mean_lpf3_peak,0.06930814812634119,-0.0845593595622071,118,0.003972558019799706,cherry
flower_vpd_max_lpf14_peak,0.06906772935282904,-0.19356088597895615,354,5.28569156460643e-07,olive
flower_veraison_et0_mean_lpf14_peak,0.06867774992943328,0.8199297605330836,386,1.7545633362022322e-07,vine
et0_mean_lpf30_peak_doy,0.06810941592927085,-0.05803124683398707,386,1.9802748707946188e-07,vine
precip_mean_lpf7_peak_doy,0.06785422984995437,0.011757507081277076,96,0.010370162270295837,pome_fruit
vpd_max_lpf30_peak_doy,0.06747944807379613,-0.044281438873815776,386,2.2644397006264485e-07,vine
et0_mean_lpf30_peak_doy,0.06652998752431134,-0.005227918140775945,96,0.011174008686003238,hazelnut
maturation_vpd_mean_lpf7_peak,0.0662140800507911,-0.2534115850146378,354,9.237639247805066e-07,olive
tmax_mean_lpf7_peak_doy,0.06547015806266407,-0.00833153837591738,191,0.00035337429456990086,walnut
maturation_vpd_max_lpf7_peak,0.06519548256537631,-0.22626949838301222,354,1.1272387351133809e-06,olive
maturation_et0_mean_lpf30_peak,0.06458269490303112,-0.07861101605701899,205,0.00023607970196489012,almond
cell_div_tmax_mean_lpf14_peak,0.0643112060148101,0.3125364556042539,96,0.012664108807520783,pome_fruit
et0_mean_lpf30_peak_doy,0.06419588771935979,-0.05751611196963259,57,0.057213862305959734,apricot
flower_vpd_max_lpf7_peak,0.06354796524191307,-0.15621392801773545,354,1.555095182228991e-06,olive
flower_vpd_mean_lpf30_peak,0.06319349418693539,-0.2577658072109095,354,1.6665111423874873e-06,olive
precip_mean_lpf30_peak_doy,0.06286059073469714,0.007548151441811083,57,0.05995459269510016,apricot
flower_vpd_mean_lpf14_peak,0.06280546654818199,-0.200311315263231,354,1.7976226353008341e-06,olive
precip_mean_lpf14_peak_doy,0.061772974380893034,0.0006520342934346415,96,0.014616407793127718,hazelnut
fruit_set_precip_mean_lpf3_peak,0.06171017194990244,-0.1095033147520157,57,0.062424538640860346,apricot
flower_et0_mean_lpf3_peak,0.061187964253685535,-0.07204642700116194,205,0.00034921295292736576,almond
