comarca,year,crop_catalan,crop_group,pheno_key,seca_ha,yield_tha,climate_method,flower_mean_vpd,flower_max_vpd,flower_n_days_vpd_gt2,flower_cum_et0,flower_mean_tmax,flower_mean_tmin,flower_cum_precip,fruit_set_mean_vpd,fruit_set_max_vpd,fruit_set_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_cum_precip,maturation_mean_vpd,maturation_max_vpd,maturation_n_days_vpd_gt2,maturation_cum_et0,maturation_mean_tmax,maturation_mean_tmin,maturation_cum_precip
Gironès,2020,Olivera per a oliva d'oli,olive,olive,40.0,1.535,centroid,1.4594715336833952,2.24850321563958,7.0,255.1825167536736,23.91436540780825,14.435645831999256,174.4966671569273,2.135148792309884,3.026465051833093,40.0,297.7859272559485,29.328384858818485,19.44798784153437,136.3766671990355,1.164809681651538,2.1580173693963185,7.0,192.1873029470444,20.55541135906739,11.32067847618692,275.8799986901383
Gironès,2021,Olivera per a oliva d'oli,olive,olive,39.0,1.3,centroid,1.5726119796116147,2.709498680065136,14.0,262.97482120990753,23.86409803713608,14.32466840900361,149.1383342643579,2.1760206373515096,3.242706163382368,36.0,298.3969047864278,28.870410681283623,19.08927307128908,102.1100006873409,1.149398633768089,1.814522983023097,1.0,200.5254228413105,20.5932566213084,12.363359097770738,290.9183340827003
Gironès,2022,Olivera per a oliva d'oli,olive,olive,39.0,1.3,centroid,2.1316645462006205,3.4362737080041903,32.0,320.9838878711065,27.150455979310767,15.94348126187353,91.46333439182489,2.8313577375326826,3.9582759947873134,56.0,336.12753721078235,31.87629409297822,20.571000999532743,95.1599990129471,1.4145399315318072,2.3976157812627314,15.0,215.88417788346604,22.8863478887649,13.689127201737085,171.3716678302735
Gironès,2023,Olivera per a oliva d'oli,olive,olive,44.0,0.7,centroid,1.751985455301398,2.6927245286883337,19.0,279.68886609872186,24.980797839555606,14.862277321737343,187.94666628694785,2.469709469650391,4.0067281447845104,48.0,321.602114280065,30.57294575680971,20.492647609915803,122.87333294376732,1.4263175174400744,2.25834804180778,12.0,229.129700422287,22.903192809387907,13.597232625772689,151.7499996178473
Gironès,2024,Olivera per a oliva d'oli,olive,olive,51.0,1.596,centroid,1.416278948982098,2.2723040606716194,8.0,257.04936059316,23.152992023405503,14.27066813818095,253.91333418774107,2.62307533808938,3.964198741897744,53.0,333.02745902538294,31.048650319089194,20.56945411928241,64.99166657837729,1.084343409904614,2.1186945381495947,5.0,193.3113506933053,20.944056349534275,13.494486815064842,259.62166565873974
Maresme,2016,Olivera per a oliva d'oli,olive,olive,5.0,1.5,centroid,1.092563638142579,1.6183961534521312,0.0,250.7815493345261,21.703513523789727,14.51308933945955,96.23200076036154,1.6119765188055717,2.167381466967148,6.0,295.17647790908813,27.27385598459554,19.912242864793367,80.20999939888715,0.9758932373067504,1.7619305497770827,1.0,190.3963427424431,20.688239665607856,14.086174531035391,284.35200271643697
Maresme,2017,Olivera per a oliva d'oli,olive,olive,6.0,1.62,centroid,1.4364203985331476,2.220570511356116,7.0,291.7707215309144,24.24744422787528,16.354690801901917,61.451999934017664,1.5987496193545805,2.217314444853936,7.0,299.23331112861626,27.659324596774216,20.74151837748868,77.25599976815283,0.9402548944016544,1.3601808433152056,0.0,180.3148628115654,20.2081720708491,13.097056026249165,214.99999964348967
Maresme,2018,Olivera per a oliva d'oli,olive,olive,7.0,1.5,centroid,1.102640694053703,1.6400910373921564,0.0,249.83338117599487,22.36747626632943,15.502624311603508,192.6000007390976,1.5571346333764355,2.194342590564999,8.0,287.9626104354859,27.92852202384705,20.94317193800406,173.39600083455446,0.8988666708875779,1.505815553147396,0.0,187.2593756556512,20.63403273362382,14.344341839800846,391.5000011574477
Maresme,2019,Olivera per a oliva d'oli,olive,olive,6.0,1.65,centroid,1.270426942075109,2.340472446732904,5.0,272.5317534685135,21.95537899830305,14.106113621445974,87.92999968118966,1.6258153897850935,2.0375981651932435,3.0,299.3226140975952,28.057402481571344,20.991245983492966,131.79000083133576,0.952080992458479,1.6282821808985504,1.0,197.11989159584047,20.45749236725191,13.619490671681856,394.0639980092645
Maresme,2020,Olivera per a oliva d'oli,olive,olive,5.0,1.25,centroid,1.1167491853415294,1.5743449983091042,0.0,253.7100080013275,22.60012497198388,15.63661789190576,141.71200010105972,1.4619339503772342,1.8979439417144648,1.0,282.91880669593814,27.29436241888233,20.59189817367064,127.93200043700634,0.9753276274487108,1.6011473353166792,0.0,192.8089429974556,20.30863110888137,13.123833691942847,247.1000014614314
