comarca,year,pheno_key,flower_cum_et0,flower_cum_precip,flower_max_vpd,flower_mean_tmax,flower_mean_tmin,flower_mean_vpd,flower_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_cum_precip,fruit_set_max_vpd,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_mean_vpd,fruit_set_n_days_vpd_gt2,maturation_cum_et0,maturation_cum_precip,maturation_max_vpd,maturation_mean_tmax,maturation_mean_tmin,maturation_mean_vpd,maturation_n_days_vpd_gt2
Baix Camp,2019,olive,305.5869453809838,64.63229370314258,2.7345250088789785,23.10112162651165,14.27318491316631,1.5943369948753423,10,329.70367168091195,51.37264245230072,2.780348057671805,29.374743946179407,20.87425951278351,2.0729813323472794,32,264.398300321702,225.19848016077495,2.2672046208005687,21.437920181696207,14.073693162852129,1.275177731925299,12
Baix Camp,2020,olive,279.48741476667976,120.30274297033212,1.9449585240994074,23.508683577043268,15.78240225802453,1.3515997276186678,2,338.64156435136164,56.411864665554454,2.8787947416805926,29.18564854367909,20.70162460121705,2.121810654926611,37,256.57183920608287,107.8480079778665,2.0899543335010673,21.294933975975272,13.557151590467848,1.2838265965757887,6
Baix Camp,2021,olive,290.44835538468965,57.35385157511118,2.447117383401834,23.355424346012416,15.534788386894256,1.4989003705030233,12,316.2180166989831,67.33235017843859,2.8410422751279705,28.00315224556144,20.07871068792706,1.8894251745480728,24,231.51924519737008,266.6735489761831,1.8501585447249518,20.545885569704673,13.66246890669378,1.1064962732101082,2
Baix Camp,2022,olive,318.7721419145683,68.67241815079049,2.6245539459309666,25.525359076591077,16.821143860416964,1.7643938948846913,19,347.47718241385553,98.1792578478697,3.0399780683872004,30.177951673760806,21.571645550821355,2.256876176297674,46,246.7975960749752,133.04684618542032,1.9904076450884904,22.515176720393274,15.651618730748027,1.2322651612228284,4
Baix Camp,2023,olive,286.6615374659985,101.67306177768133,2.309036788366393,23.84717623737045,15.943090372016975,1.4575118612162081,7,337.58395872276844,50.8223588920602,3.2224158987007407,29.43538857908775,21.536855218677562,2.055654899410621,27,273.20467864951684,90.26662141130919,2.0545496129630973,22.735608905852597,15.517888734293606,1.3554433641403087,5
Baix Camp,2024,olive,294.57944301662695,57.88695295101018,2.248118827280158,23.11127988641441,15.516355982528422,1.4341012484800846,6,328.68755154882336,78.54247443132893,2.9165788171194413,29.04894920733638,21.142894019513314,1.998404563783016,28,235.95435535029316,427.8716093422461,2.1833178443465986,20.98793412731056,14.59328563652205,1.0892223116466628,9
Baix Ebre,2016,olive,324.96070059642994,41.21057400497343,2.807847079550965,24.84294422671145,15.134406897104022,1.8369495086902514,27,353.4598889616201,19.409114986163438,3.202077927273161,30.289402537376727,20.458390273562507,2.423901818503121,47,243.3810875795559,241.12867728674877,2.6372115530388056,22.316453845169384,14.441740925973884,1.3407409880159844,12
Baix Ebre,2017,olive,326.22976758204067,57.375001351906306,2.8223662122606723,26.34222800381523,16.485942592666483,1.891517418393115,23,347.163657012852,43.75790767697645,3.240565445528766,30.168494929666796,20.648831727938656,2.256108321230543,35,288.0689910279689,66.41912732030173,2.6890443424367403,22.64996368315523,13.349021655203732,1.5771924413385787,18
Baix Ebre,2018,olive,306.7953262282911,97.73489524507978,2.7620342154250523,25.06379138327581,15.618318590837035,1.7705472763714685,19,349.6182055375256,70.12420415538804,3.63460522798125,31.39354425637645,21.20012387226191,2.574665176526798,56,245.36522638272515,336.25405522693563,2.5421224876699196,22.09230891482969,14.265338927859087,1.328789977907134,15
Baix Ebre,2019,olive,324.61042022959475,52.43369845226463,3.038003387537269,24.502336279562293,14.526335542425574,1.8585945610743624,19,346.4891906707407,76.68678190604051,3.2440843511928663,30.777581331887312,20.904651637557503,2.4100318063644615,51,279.42142583836835,182.65284126001325,2.4626887108955997,22.396029969806165,14.139466730644584,1.4739748058391835,20
Baix Ebre,2020,olive,289.0791448089921,123.34246742171003,2.1482697824226915,24.789781783851645,15.978924189338336,1.5634909876992922,10,353.6831946366439,35.5228794094388,3.166635709262773,30.35115995570997,20.726179671190856,2.38181045925967,51,265.1791129709281,133.60668241958575,2.362292426819735,22.07622803353679,13.572077689132183,1.4281108630069417,16
Baix Ebre,2021,olive,304.33153161410024,49.72152042138725,2.893530148112476,24.91234420732672,15.721474894161572,1.7989805661810636,17,334.90142239395215,78.4243873303964,3.078311582596997,29.409963156947704,20.266054592720007,2.222852185756666,37,247.81232818737007,284.8599595750963,2.025904680759953,21.174770908504875,13.76599474364871,1.2490303198496042,6
Baix Ebre,2022,olive,333.72925686718935,80.97194375699571,3.122749879448422,26.973339140809898,16.969674756364427,2.0363381944937893,24,370.4098517210102,86.50713720669688,3.7108317308885956,31.987796279352654,21.84010891242087,2.706815152508047,58,260.75047367520324,161.316961830238,2.4214733682067453,23.569615927325025,15.761678748491512,1.4367438590934147,15
Baix Ebre,2023,olive,314.4925796863032,85.77133457827787,2.786895498569003,25.747625581799483,16.216435471457054,1.8782375491256158,24,367.1885707701509,33.70883358332608,3.762774043386352,31.23723481755819,21.704932688523613,2.531752936560808,47,269.87872142365217,118.24885904977403,2.063471168393783,23.58735325020868,15.473615764355934,1.4672571105043515,6
