comarca,year,crop_catalan,crop_group,pheno_key,seca_ha,yield_tha,flower_cum_et0,flower_cum_precip,flower_max_vpd,flower_mean_tmax,flower_mean_tmin,flower_mean_vpd,flower_n_days_vpd_gt2,fruit_set_cum_et0,fruit_set_cum_precip,fruit_set_max_vpd,fruit_set_mean_tmax,fruit_set_mean_tmin,fruit_set_mean_vpd,fruit_set_n_days_vpd_gt2,maturation_cum_et0,maturation_cum_precip,maturation_max_vpd,maturation_mean_tmax,maturation_mean_tmin,maturation_mean_vpd,maturation_n_days_vpd_gt2
Terra Alta,2016,Olivera per a oliva d'oli,olive,olive,4587.0,1.3,354.3798559884653,55.29061262600947,3.236292783929397,25.123665310448057,13.763177064749264,2.118145618751695,35,404.1124064275113,14.920462630269562,3.861718471423479,31.316411356541987,18.813609657651007,3.0479990347913857,61,250.94695934955035,201.97270861147945,3.2666061738402687,21.148016393200766,12.316877790338111,1.4013070503148426,17
Urgell,2016,Olivera per a oliva d'oli,olive,olive,2865.0,0.95,337.3808485808687,60.72000077739358,3.216102689023645,24.731920847449597,12.905444269549122,2.07056367992717,32,378.0225568714941,42.70999992080033,3.6269955149349338,30.943233636795835,18.29531663492455,2.913335957950375,58,217.9651147619685,200.5900017190725,2.94302417639224,20.50019762052652,11.36503974597974,1.2915164760030515,11
Vallès Oriental,2016,Olivera per a oliva d'oli,olive,olive,255.0,1.7,245.9429066181183,72.12000013887882,2.048680183365163,22.093252628477146,13.550841699782222,1.397331457305243,4,285.93574047088623,61.98999855108559,2.7414639689590987,28.103327746261115,18.856907162843772,2.0700880319632144,35,173.9311945438385,266.83000260591507,2.23080202045506,20.11005141996566,12.947705617574693,1.12249378506774,8
Alt Camp,2017,Olivera per a oliva d'oli,olive,olive,1501.0,1.642,311.3019632020091,53.382970832525096,3.046661787401116,25.52261605033006,14.847476554812676,1.929780447354841,25,319.59604167105334,62.7764065077253,2.9478946198421108,29.235064290323013,19.250644810168343,2.181227381023608,41,217.18833254339583,118.65803759686364,2.020361496456501,20.909581165537773,11.698531625649103,1.2471251350688497,5
Alt Empordà,2017,Olivera per a oliva d'oli,olive,olive,2323.0,1.075,314.02843727087105,60.68732596929154,2.9145620482046364,25.505393460845603,16.67777984084634,1.814775851511136,24,354.7654869123634,30.659203926704528,3.282602183083882,29.11694225726452,20.61480103316712,2.209940880105986,38,247.8292755216615,104.73677984059935,1.978440121869084,20.578659055074446,12.253966059733177,1.2655754974273268,4
Alt Penedès,2017,Olivera per a oliva d'oli,olive,olive,785.0,1.56,323.0236128394533,41.292286399842645,3.199849377889715,25.618511426378078,14.672991579399158,1.9896626845787968,29,325.4780120260265,90.15256624984964,2.9503676823206733,28.912718956828805,19.021452737299036,2.111373452476208,33,205.5972083053209,180.00664228789898,1.8141987808090552,20.159472043712917,11.057134821067336,1.1180106962475864,2
Alt Urgell,2017,Olivera per a oliva d'oli,olive,olive,127.0,0.89,254.63119792938232,119.8400017824024,2.8530100645866576,22.059845935589728,10.861294570003157,1.6150678069836133,16,290.9787058830261,90.81000058725476,3.203274197431724,27.04966122242076,15.22126894750266,2.2837460977117323,44,176.89531874656677,115.29999895393848,1.90018004882393,17.58122742715305,6.43190357595542,1.2360092307478836,1
Anoia,2017,Olivera per a oliva d'oli,olive,olive,587.0,1.08,323.932483883768,65.55999877862632,3.8256357106017407,26.980149561467204,14.96222360429156,2.292405509511584,37,335.81645418314946,104.99999973364174,3.621466640480977,30.64093411162625,19.44885468990022,2.581964014192606,54,197.32652912500492,158.70999991707504,1.9620413451366268,20.683003799983187,10.345667761764275,1.2389961360776631,4
Baix Camp,2017,Olivera per a oliva d'oli,olive,olive,2074.0,1.642,318.615960232972,33.348612916381654,2.5980924449777123,25.112767028099487,16.481372684442395,1.7210402916329324,17,332.6706320611508,39.21106324736562,2.903668111230618,28.86071968984788,20.68705652226912,1.9691625350381587,22,257.8742831589835,92.71989697202326,2.337524849721007,21.555887381905293,13.043409927812675,1.333258399861898,10
Baix Ebre,2017,Olivera per a oliva d'oli,olive,olive,19304.0,1.275,326.22976758204067,57.37500135190631,2.8223662122606723,26.34222800381523,16.485942592666483,1.891517418393115,23,347.163657012852,43.75790767697645,3.240565445528766,30.1684949296668,20.648831727938656,2.256108321230543,35,288.0689910279689,66.41912732030173,2.6890443424367403,22.64996368315523,13.349021655203732,1.5771924413385787,18
Baix Empordà,2017,Olivera per a oliva d'oli,olive,olive,588.0,1.075,311.03026524523926,39.450583642945816,2.83338346010694,25.36118736041384,16.530782073814496,1.731636667304057,17,336.37634298713004,31.143768823393568,2.954492994298907,28.865772032617077,20.58444591744718,2.030581298369291,27,223.9308208471198,109.08851319407388,1.8168496454845404,20.396576212942342,12.218829007791909,1.1535022819836669,2
Baix Llobregat,2017,Olivera per a oliva d'oli,olive,olive,487.0,1.32,323.3260002242934,50.29622343965478,3.9588227931891344,27.497150414175923,15.383125615679257,2.396700027345114,40,329.782970486494,99.58194097233738,3.7060485772445455,30.86957450919681,19.8920974109398,2.618107217612616,56,190.22610804954863,172.50898473047044,1.943710211016209,20.93565296019837,10.99689420840044,1.2409436773190667,4
