year,comarca,seca_ha,yield_tha,lag_yield,cohort
2024,Noguera,1148.0,-0.1784444444444444,-0.07400000000000007,all_olive
2016,Pallars Jussà,666.0,0.00011111111111117289,-0.016555555555555435,all_olive
2017,Pallars Jussà,699.0,0.14011111111111108,0.013444444444444592,all_olive
2018,Pallars Jussà,719.0,0.0401111111111111,0.1534444444444445,all_olive
2019,Pallars Jussà,694.0,0.060111111111111115,0.05344444444444452,all_olive
2020,Pallars Jussà,736.0,0.13011111111111107,0.07344444444444453,all_olive
2021,Pallars Jussà,744.0,0.13011111111111107,0.14344444444444449,all_olive
2022,Pallars Jussà,723.0,-0.4338888888888889,0.14344444444444449,all_olive
2023,Pallars Jussà,570.0,-0.15688888888888886,-0.42055555555555546,all_olive
2024,Pallars Jussà,566.0,0.09011111111111114,-0.14355555555555544,all_olive
2016,Priorat,1717.0,0.5058888888888889,0.30466666666666664,all_olive
2017,Priorat,1715.0,0.3208888888888889,0.3856666666666666,all_olive
2018,Priorat,1642.0,-0.14911111111111108,0.20066666666666655,all_olive
2019,Priorat,1502.0,0.640888888888889,-0.2693333333333334,all_olive
2020,Priorat,1400.0,0.030888888888888855,0.5206666666666666,all_olive
2021,Priorat,1323.0,0.313888888888889,-0.08933333333333349,all_olive
2022,Priorat,1241.0,-0.6561111111111111,0.19366666666666665,all_olive
2023,Priorat,883.0,-0.35011111111111104,-0.7763333333333333,all_olive
2024,Priorat,909.0,-0.657111111111111,-0.4703333333333334,all_olive
2016,Ribera d'Ebre,5489.0,0.4441111111111111,-0.03700000000000003,all_olive
2017,Ribera d'Ebre,5308.0,0.419111111111111,0.377,all_olive
2018,Ribera d'Ebre,4700.0,-0.15388888888888896,0.35199999999999987,all_olive
2019,Ribera d'Ebre,4197.0,0.23911111111111105,-0.22100000000000009,all_olive
2020,Ribera d'Ebre,4212.0,0.1741111111111111,0.17199999999999993,all_olive
2021,Ribera d'Ebre,4505.0,0.18411111111111111,0.10699999999999998,all_olive
2022,Ribera d'Ebre,5353.0,-0.5238888888888888,0.11699999999999999,all_olive
2023,Ribera d'Ebre,3589.0,-0.2088888888888889,-0.591,all_olive
2024,Ribera d'Ebre,3711.0,-0.5738888888888889,-0.276,all_olive
2016,Segarra,425.0,0.16466666666666674,0.10433333333333339,all_olive
