cohort,comarca,year,row_idx,yield_tha,lag_yield,year_str,year_code
arbequina,Tarragonès,2024,251,-0.8851111111111112,0.5445555555555557,2024,8
arbequina,Urgell,2016,252,-0.261111111111111,-0.1655555555555556,2016,0
arbequina,Urgell,2017,253,0.3488888888888892,-0.0555555555555558,2017,1
arbequina,Urgell,2018,254,-0.3111111111111109,0.5544444444444445,2018,2
arbequina,Urgell,2019,255,-0.2311111111111108,-0.1055555555555556,2019,3
arbequina,Urgell,2020,256,0.0988888888888892,-0.0255555555555555,2020,4
arbequina,Urgell,2021,257,0.0788888888888892,0.3044444444444445,2021,5
arbequina,Urgell,2022,258,-1.181111111111111,0.2844444444444445,2022,6
arbequina,Urgell,2023,259,-0.0211111111111108,-0.9755555555555556,2023,7
arbequina,Urgell,2024,260,1.4788888888888891,0.1844444444444444,2024,8
