cohort,comarca,year,row_idx,yield_tha,lag_yield,tmin_preflower_mean,tmin_flowering_mean,tmin_pit_mean
arbequina,Tarragonès,2024,80,0.867,2.182,9.89136790904439,13.067579374937253,20.735974761134443
arbequina,Urgell,2016,81,0.95,0.92,9.983558316582592,15.918656425244965,18.52212506153672
arbequina,Urgell,2017,82,0.97,0.95,9.202308228711425,15.622320728833003,19.601144894807877
arbequina,Urgell,2018,83,0.84,0.97,10.717186700409366,14.28028456361404,19.634923529875685
arbequina,Urgell,2019,84,0.86,0.84,9.25836603001319,14.00016465844961,19.21657687286325
arbequina,Urgell,2020,85,0.93,0.86,10.817999606211595,14.584144303457913,19.175351105822635
arbequina,Urgell,2021,86,0.93,0.93,10.677716141850437,16.11132494844545,18.6578877582739
arbequina,Urgell,2022,87,0.372,0.93,11.725587553637682,14.806618903480281,19.445403953314415
arbequina,Urgell,2023,88,0.702,0.372,9.9172489746137,11.789486788969672,20.891324390299925
arbequina,Urgell,2024,89,0.65,0.702,9.25936481505994,13.571541050110952,20.219195234345833
