cohort,comarca,year,row_idx,yield_tha,lag_yield,wd_S_pre_mean,wd_S5_mean,wd_S6_mean,wd_S7_mean,wd_S8_mean
all_olive,Baix Camp,2016,36,0.2436666666666667,0.901888888888889,-1.0378975312617162,-1.5027613042236203,-4.913359679114454,-2.971322281360032,0.5571175495124593
all_olive,Baix Camp,2017,37,0.2856666666666665,0.0598888888888888,-0.03621018775766903,-2.17529854848822,-4.478760461410393,-3.445381961116681,-1.7172175204400353
all_olive,Baix Camp,2018,38,-0.9043333333333334,0.1018888888888887,0.3736175314356502,-1.5491642611367367,-2.6493956179947267,-2.0419955986832825,3.265101765567551
all_olive,Baix Camp,2019,39,0.7936666666666665,-1.0881111111111113,-1.6054699313630096,-2.888771260959476,-3.5018718816644068,-2.407897059858489,-1.1568083093995796
all_olive,Baix Camp,2020,40,0.3006666666666666,0.6098888888888887,0.19863779961283273,1.046699950868673,-2.8968048215368567,-3.709217956418472,-0.35191657293435874
all_olive,Baix Camp,2021,41,0.3636666666666666,0.1168888888888888,-0.19228955476696596,-2.1425490838441767,-4.113917117398612,-2.1864170863434595,0.8422841958663597
all_olive,Baix Camp,2022,42,-0.8233333333333334,0.1798888888888887,-0.9461335530223498,-0.7708584240226667,-4.085823857617014,-2.5789415425137365,-1.3706401649634448
all_olive,Baix Camp,2023,43,0.3086666666666666,-1.007111111111111,-0.9965176213667607,-3.7689899403228564,-1.6642850521723833,-3.3534865158413645,-2.0306505000560864
all_olive,Baix Camp,2024,44,-0.5683333333333334,0.1248888888888888,-0.7875397307067453,-2.3533853889663394,-3.6902786780756953,-1.7884045985913792,4.742707301967073
all_olive,Baix Ebre,2016,45,-0.0257777777777776,-0.4795555555555554,-1.2600636417361004,-1.4139608917340858,-5.247929767519237,-3.349075714308059,0.16159192233213332
all_olive,Baix Ebre,2017,46,-0.0507777777777778,-0.0655555555555553,0.1358236305573034,-2.4807027468068608,-4.128477224388293,-3.9163746702736093,-1.986622446256557
all_olive,Baix Ebre,2018,47,-0.2567777777777777,-0.0905555555555555,-0.20621369342831247,-2.147704654645675,-2.1773771914414,-2.3384752501704034,3.135359067689361
all_olive,Baix Ebre,2019,48,0.4992222222222222,-0.2965555555555554,-1.8215850347757974,-2.9678337902636898,-4.043869931937329,-2.870790715187433,-1.3006727736044144
all_olive,Baix Ebre,2020,49,0.2302222222222223,0.4594444444444445,0.855925908351553,1.6413571677351402,-2.816260621100664,-4.123303049112419,0.4568033953929053
all_olive,Baix Ebre,2021,50,0.3882222222222222,0.1904444444444446,-0.08528285365236894,-2.1486929909284433,-3.971670790516904,-2.095665309965492,0.5940650516721823
all_olive,Baix Ebre,2022,51,-0.7127777777777777,0.3484444444444445,-1.0971372548412057,0.5566600257169402,-4.516522706017963,-2.935257865764968,-0.7316011227201671
all_olive,Baix Ebre,2023,52,0.7262222222222223,-0.7525555555555554,-1.169778888929688,-4.184773833760576,-1.988313229344785,-3.5138312236302425,-1.9434300245384555
all_olive,Baix Ebre,2024,53,-0.7977777777777777,0.6864444444444446,-0.7596369418302471,-3.0178874360369647,-4.117510668890817,-2.336747146411135,9.897987208262617
all_olive,Baix Empordà,2016,54,0.2144444444444444,-0.1969999999999999,-0.09882579255152045,-1.3583531640470032,-3.4686661745212515,-3.3430574092857728,0.4120932660939893
all_olive,Baix Empordà,2017,55,-0.0245555555555556,0.3010000000000001,1.555398367169188,-2.3923305901788123,-5.001021634483215,-2.92685446311253,-1.2476441036263595
all_olive,Baix Empordà,2018,56,0.1004444444444443,0.062,0.6520458492122485,-0.5324649451884315,-3.643321459208216,-2.2999321470953653,3.783218029316287
all_olive,Baix Empordà,2019,57,0.0274444444444443,0.187,-1.1264117367198354,-1.9433786442348437,-4.4187045402976945,-1.444832306087033,-0.16268946616245167
all_olive,Baix Empordà,2020,58,0.4164444444444444,0.1140000000000001,1.2876576862037485,0.5992453353030719,-3.3492901242813296,-2.733924095225341,-0.8206414487688061
all_olive,Baix Empordà,2021,59,-0.1995555555555556,0.5030000000000001,0.01175288580193113,-1.8043464181988402,-4.2702422397249205,-3.0886699282785965,2.9075915038167524
all_olive,Baix Empordà,2022,60,-0.6195555555555556,-0.1129999999999998,-0.23764109616008516,-0.9183484422984218,-4.553877118093017,-3.50683053230229,-0.8758887271111719
