doy,beta_fpls_k1,beta_fpls_k2,beta_fpls_k3,beta_bayesian_median,beta_bayesian_q05,beta_bayesian_q95
109,2.8340165524518547e-05,0.0004225775427802043,-0.0010585509386480084,-0.002589187589696087,-0.004597303469485831,0.0006447721598015534
110,0.001435311696244289,0.002511507441077594,0.0018315015456501463,-0.0025313064190636368,-0.004509174774861425,0.0006769922568272607
111,-0.00241232668678385,-0.0026323980358797724,-0.0027753910835129113,-0.002475115718032968,-0.004431265446802597,0.0007003449886971352
112,-0.0018110188881070262,-0.001588488578099975,-0.0014745365333775921,-0.002418609079074612,-0.004355511257416563,0.0007293147937512456
113,0.0028923374998644498,0.004708546580725774,0.004197258737233625,-0.0023641985610329927,-0.0042769669595745345,0.0007602751701517751
114,-0.003503725056396279,-0.004217898548196679,-0.006322270758923503,-0.002310456299819263,-0.004194447063664794,0.0007730223660779416
115,-0.000899962696821014,-0.00039242523634037594,-0.0007950384690101198,-0.002258427902399953,-0.004127572248182667,0.0007909770364333646
116,-0.0017668578509446656,-0.0017236073035989006,-0.0036789427603982445,-0.0022098971596543624,-0.00405149938403894,0.0008084036494170416
117,-0.0007259428239164342,-0.0006888618129144705,-0.004905294869119165,-0.0021611636931024554,-0.00398091317879917,0.0008214277310888522
118,0.00036260853733431056,0.0012685313925283343,-0.0009252216013158875,-0.002113416047105422,-0.003917060239602327,0.0008334431569146578
119,-0.0018597799966119548,-0.0018391291250466442,-0.005224140723746365,-0.002065425912005778,-0.0038447138428790496,0.0008441275915622703
120,-0.0008804613310511816,-0.0009625945861909053,-0.004988358849344147,-0.002020401134664642,-0.00377409089836886,0.0008517780207221305
121,0.002495072111188359,0.004584055555488268,0.005248744032453002,-0.0019795304490116614,-0.0037132762504761153,0.0008567298699896115
122,0.0029187603665738883,0.003931406437151019,0.00013478429157955996,-0.0019390015379128133,-0.0036524289475793922,0.0008614041077857338
123,-0.0010601316298732844,-0.0010940341296725236,-0.002820942599497818,-0.0019005386300415135,-0.0035963595519985076,0.0008670183972395041
124,0.0010762505115469829,0.002173117239166332,-0.0002704735212358448,-0.0018643828445648375,-0.0035361693335788356,0.000871451252578399
125,-0.0005357359180800985,0.0005046849443529063,-0.00028507914314732726,-0.001828901265024885,-0.0034763965754622097,0.0008667388473728808
126,-0.0011281584539045446,-0.0001499628766827963,-0.0020270711626783934,-0.0017911085147769576,-0.0034218584984306417,0.0008567144408271305
127,-0.005178870940795021,-0.005706958475404842,-0.007762459620190524,-0.0017566315981314667,-0.0033702751914533153,0.0008457933455219054
128,-0.002178675070857606,-0.0010849842755737073,-0.00010292776162887946,-0.0017210036556725371,-0.0033157557839140353,0.000821426571542487
129,-0.005547369011462978,-0.006429977196626421,-0.008562521229449137,-0.001689125118946552,-0.0032699742926741737,0.0008101639159080688
130,-0.008063704591676006,-0.009674275444729713,-0.01114168913834023,-0.001655045253256876,-0.003224060733039975,0.0007983804664663031
131,-0.0010914625407564566,0.0007865452372846202,0.005780893809870131,-0.0016240423328765814,-0.003173938526773401,0.0007845988605551575
132,0.0024153257232766728,0.005482566076237323,0.009158097226973888,-0.0015950204290658173,-0.00312347499115773,0.0007672498779081533
